#{"t_start": 1755100686.0050862, "env_id": "None"}
r,l,t
741.436637,100,429.233895
900.436239,100,429.61044
285.143092,100,429.998133
1.258333,100,430.370424
3.856485,100,430.759043
851.050411,100,431.133111
593.062822,100,431.49807
3.766373,100,431.889556
662.351003,100,432.253775
701.832968,100,433.56812
781.472204,100,433.936275
3.021896,100,434.313881
652.433795,100,434.686622
462.789682,100,435.059623
572.59265,100,435.437925
382.539046,100,435.84514
810.968937,100,436.227559
523.500363,100,436.614049
781.507507,100,436.997303
532.867606,100,437.390828
1.996212,100,437.777897
24.872656,100,438.204453
333.477804,100,438.605882
22.398569,100,438.996927
1.296617,100,439.370569
156.894538,100,439.759215
2.71875,100,440.157582
0.669558,100,440.539974
4.110988,100,440.926961
441.948195,100,441.305471
7.659564,100,442.538218
651.369441,100,442.918439
6.787688,100,443.340698
711.025479,100,443.690813
821.979448,100,444.039245
2.192971,100,444.411322
5.827991,100,444.78245
930.84275,100,445.139129
272.867204,100,445.516755
3.123886,100,445.874606
3.52873,100,446.245769
940.339837,100,446.590119
1.80462,100,446.93815
502.463536,100,447.300128
312.829046,100,447.665461
661.833703,100,448.017652
641.617775,100,448.377877
502.975314,100,452.07298
901.101146,100,452.424248
3.362054,100,452.799023
880.648049,100,454.056808
821.576786,100,454.406825
2.853533,100,454.750083
3.188035,100,455.134589
891.342258,100,455.491729
950.990072,100,455.845587
6.230842,100,456.221708
940.835846,100,456.57989
940.394497,100,456.947159
8.304831,100,457.320957
811.246271,100,457.714997
711.300843,100,458.077575
6.946308,100,458.463322
1.379592,100,458.811159
212.335259,100,459.175984
1.988678,100,459.527443
3.84501,100,459.886994
2.607797,100,460.238365
871.405663,100,460.584835
970.70678,100,460.940683
750.767127,100,461.28928
851.149127,100,462.486433
870.744714,100,462.828463
771.2727,100,463.179518
2.032035,100,463.558103
572.626622,100,463.920671
771.885759,100,464.277579
602.317029,100,464.644101
2.037446,100,465.004852
513.736571,100,465.374532
941.052723,100,465.724325
721.050913,100,466.093509
581.16233,100,466.441056
810.404038,100,466.833298
21.067194,100,467.214889
941.345995,100,467.58006
13.026597,100,467.968144
454.19216,100,468.362994
2.686606,100,468.750077
202.337212,100,469.112538
0.555863,100,469.453581
94.88047,100,470.666994
522.484643,100,471.054508
920.338791,100,471.424228
6.241613,100,471.826074
762.014446,100,472.20301
473.169629,100,472.586017
3.282309,100,472.960437
910.56323,100,473.315046
2.261498,100,473.698306
830.755605,100,474.091849
4.86714,100,474.484693
5.687163,100,474.882598
5.605676,100,475.292355
156.845397,100,475.695074
941.404731,100,476.072364
701.472116,100,476.440239
782.233721,100,476.805663
661.578098,100,477.177716
830.542727,100,477.5397
851.109006,100,477.910039
671.896941,100,479.254828
224.038797,100,479.634949
720.835133,100,479.995744
602.884924,100,480.381733
464.936548,100,480.748571
831.08799,100,481.102416
3.410468,100,481.470203
960.769579,100,481.831302
930.602927,100,482.204739
970.552376,100,482.576549
2.072713,100,482.930962
851.259104,100,483.290119
920.453548,100,483.648164
392.313264,100,484.027154
880.460758,100,484.39221
8.65618,100,484.78142
4.079374,100,485.163455
473.146063,100,485.532402
127.885282,100,485.926299
651.068112,100,486.302714
820.788415,100,486.678414
0.838741,100,487.950435
213.426022,100,488.339189
284.398313,100,488.70855
624.791206,100,489.075746
1.1661,100,489.437557
670.908305,100,489.797261
821.121918,100,490.155372
3.938418,100,490.533098
691.915417,100,490.895347
604.319221,100,491.266788
761.259651,100,491.621154
931.562708,100,491.972198
4.242331,100,492.341145
811.679871,100,492.69415
811.048331,100,493.053527
671.828337,100,496.596862
5.424967,100,496.952037
134.028663,100,497.317183
3.047142,100,497.685857
900.845581,100,498.038886
1.351294,100,499.201337
911.110683,100,499.577417
2.617731,100,499.957417
1.517576,100,500.327768
